Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
225.83,-8.9083,0.39365,1,0.062402,0.044381,0.26422,0.25216,0.014069,0.19383,0.40594,0.11825,0.40924,0.1226,0.11795,0.10148,0.099807,0.31882,0.26345,0.37788,0.18988,0.40496,0.79559,0.13558,0.3509,0.064117,0.2576,0.25274,0.19446,0.14355,0.36497,0.1708,0.10136,0.62194,0.39349,0.42716,0.44096,0.39249,0.27955,0.34267,0.10414,0.17767,0.082786,0.14293,0.098042,0.39527,0.22731,0.29618,0.23677,0.27577,0.11534,0.31556,0.39931,0.24492,0.3753,0.21381,0.2734,0.10319,0.1666,0.19
226,-8.9148,0.40205,1,0.089082,0.014384,0.26697,0.22899,-0.0079807,0.14828,0.4359,0.12202,0.41393,0.15772,0.093304,0.093208,0.12268,0.33612,0.28291,0.34325,0.17679,0.37848,0.75261,0.13096,0.40205,0.067667,0.19388,0.20774,0.1361,0.089549,0.29022,0.19279,0.070836,0.45149,0.3638,0.34417,0.3881,0.30147,0.23256,0.37105,0.12467,0.1815,0.11444,0.1218,0.090136,0.31512,0.18967,0.26433,0.20329,0.26011,0.071718,0.31686,0.38574,0.27886,0.38342,0.30165,0.28572,0.13242,0.21044,0.15903
226.16,-8.9433,0.4256,1,0.1119,0.0059899,0.26788,0.21115,-0.0058428,0.12126,0.43449,0.13654,0.42965,0.19284,0.054878,0.073479,0.11452,0.32736,0.30164,0.2945,0.19349,0.36382,0.66847,0.12038,0.42526,0.08362,0.14382,0.17085,0.078254,0.046964,0.21129,0.21,0.027857,0.47051,0.32315,0.25773,0.34785,0.20512,0.21799,0.35918,0.079531,0.19501,0.12703,0.081748,0.098662,0.22277,0.17326,0.2293,0.16182,0.21198,0.0073359,0.28665,0.38173,0.28891,0.37185,0.35801,0.29803,0.11903,0.24221,0.12867
226.33,-8.933,0.41698,1,0.12615,0.0050654,0.27797,0.19716,0.014965,0.094234,0.43873,0.18403,0.45815,0.22247,0.077995,0.053751,0.10892,0.34402,0.28709,0.23058,0.22878,0.33782,0.58685,0.10799,0.43032,0.1075,0.092295,0.13405,0.022335,0.017156,0.13806,0.23198,-0.015121,0.44757,0.27914,0.21087,0.33355,0.1109,0.22116,0.32796,0.078956,0.22471,0.15558,0.043957,0.10719,0.10471,0.14541,0.18764,0.12036,0.17202,-0.035823,0.26432,0.41743,0.28006,0.37135,0.41488,0.30744,0.15206,0.25267,0.11207
226.5,-8.9435,0.43136,1,0.13726,0.018067,0.25135,0.20508,0.03726,0.076775,0.4496,0.23812,0.48705,0.2322,0.10286,0.032505,0.10144,0.34023,0.29971,0.17438,0.27164,0.3128,0.48053,0.089216,0.40251,0.13887,0.064251,0.13618,-0.013067,0.0051606,0.09442,0.25216,-0.029482,0.40437,0.26404,0.16197,0.34551,0.037338,0.23178,0.2812,-0.007565,0.25124,0.1439,0.029749,0.10909,0.049149,0.11756,0.11556,0.11945,0.16113,-0.075455,0.23411,0.45313,0.26232,0.37085,0.43004,0.30924,0.14812,0.25921,0.10697
226.66,-8.9547,0.43992,1,0.11876,0.031069,0.2161,0.2059,0.054211,0.075511,0.46046,0.28598,0.5057,0.24884,0.13884,0.01126,0.10604,0.35116,0.29174,0.15853,0.31427,0.28778,0.38659,0.081597,0.35197,0.17336,0.065518,0.15601,-0.017346,0.040383,0.077248,0.27088,-0.030958,0.36116,0.23334,0.12336,0.35682,0.014783,0.26217,0.24964,0.007154,0.27643,0.15671,0.02876,0.10212,0.0034189,0.092924,0.058356,0.12033,0.1731,-0.09373,0.20519,0.49086,0.24254,0.37226,0.44217,0.34091,0.16992,0.24677,0.12074
226.83,-8.9531,0.43868,1,0.10504,0.044847,0.18086,0.19866,0.069209,0.070841,0.45808,0.28774,0.5243,0.25176,0.21327,0.0048408,0.099771,0.3386,0.31621,0.13433,0.34383,0.2734,0.33998,0.10265,0.30632,0.20218,0.071293,0.18688,-0.010672,0.072368,0.067232,0.26225,-0.026019,0.38934,0.20726,0.13145,0.36812,0.014061,0.29255,0.24069,-0.028262,0.30156,0.14504,0.038466,0.089597,-0.037165,0.056539,0.075164,0.13242,0.19246,-0.083353,0.19524,0.50953,0.21939,0.36476,0.40019,0.37259,0.15835,0.2217,0.15279
227,-8.9522,0.43852,1,0.10037,0.050332,0.14576,0.17831,0.078307,0.073928,0.44634,0.25818,0.54069,0.25468,0.28987,-0.019432,0.096057,0.34817,0.34782,0.12246,0.34361,0.28317,0.34562,0.13647,0.25982,0.21765,0.080991,0.22055,0.016336,0.089819,0.068263,0.24092,-0.0086234,0.45894,0.19039,0.14985,0.37105,0.040869,0.3277,0.257,-0.016585,0.32676,0.14534,0.053206,0.080628,-0.04256,0.03336,0.10972,0.14269,0.22586,-0.033415,0.19974,0.52004,0.18345,0.37695,0.38486,0.38702,0.13938,0.19843,0.17856
227.16,-8.9512,0.43675,1,0.10141,0.04817,0.11066,0.15411,0.078692,0.066952,0.39893,0.2242,0.54534,0.24313,0.31871,-0.043705,0.092405,0.33681,0.38195,0.12844,0.31681,0.33593,0.36975,0.16509,0.25487,0.22631,0.10197,0.26248,0.0571,0.091491,0.084925,0.21959,0.043788,0.54281,0.18317,0.17659,0.35034,0.070877,0.37698,0.24124,0.0069986,0.3313,0.14252,0.068537,0.081958,0.012989,0.040782,0.14518,0.15296,0.24425,0.022927,0.20424,0.49928,0.15419,0.38932,0.35741,0.36303,0.093619,0.1697,0.19684
227.33,-8.9521,0.44135,1,0.10333,0.03756,0.067846,0.13441,0.082022,0.062547,0.34407,0.15584,0.47068,0.23491,0.33639,-0.066488,0.10126,0.34143,0.42813,0.15124,0.29788,0.40503,0.41934,0.19202,0.24993,0.24944,0.13721,0.28904,0.097864,0.079242,0.11037,0.21649,0.0871,0.63131,0.20838,0.20659,0.32964,0.088621,0.42626,0.24035,0.044817,0.3269,0.15552,0.082436,0.10412,0.077576,0.052041,0.17008,0.14948,0.26829,0.04701,0.20211,0.48611,0.12841,0.40162,0.35454,0.32218,0.085999,0.14097,0.21203
227.5,-8.9487,0.43862,1,0.097921,0.024454,0.045658,0.13537,0.093696,0.048358,0.29777,0.12149,0.4542,0.20614,0.32771,-0.082399,0.11011,0.32023,0.46976,0.15723,0.29016,0.47412,0.46615,0.20302,0.255,0.26529,0.19387,0.3052,0.13452,0.0642,0.1391,0.23018,0.076573,0.7198,0.25953,0.23511,0.33415,0.091507,0.4435,0.21699,0.082715,0.31325,0.20307,0.096689,0.13563,0.13233,0.067738,0.17795,0.1391,0.27199,0.057027,0.19521,0.45293,0.10754,0.39923,0.33261,0.26801,0.06259,0.1227,0.22785
227.67,-8.9506,0.43689,1,0.098395,0.013869,0.023469,0.15138,0.10843,0.031362,0.26471,0.052763,0.37385,0.17956,0.29448,-0.10776,0.095852,0.32112,0.51378,0.16654,0.28244,0.53258,0.48911,0.21203,0.26571,0.28212,0.24621,0.31341,0.16207,0.049703,0.16797,0.2494,0.066047,0.75452,0.31742,0.24402,0.32609,0.09406,0.46073,0.19363,0.094565,0.28748,0.25692,0.11131,0.16763,0.19125,0.099715,0.17982,0.12956,0.27568,0.058712,0.18831,0.44191,0.08199,0.38009,0.34773,0.21384,0.039042,0.092787,0.22539
227.83,-8.9508,0.43601,1,0.088204,0.0080138,0.035399,0.17518,0.12344,-0.00082911,0.23256,0.054646,0.33512,0.14025,0.25908,-0.10089,0.081591,0.30786,0.573,0.1642,0.26159,0.58635,0.48967,0.20942,0.31632,0.30701,0.27401,0.31881,0.16543,0.035719,0.191,0.28531,0.057204,0.7572,0.37635,0.24461,0.29059,0.0712,0.47659,0.16227,0.080423,0.24681,0.29146,0.12632,0.19022,0.25442,0.13632,0.18091,0.12541,0.27822,0.064208,0.18673,0.42514,0.07643,0.35856,0.34966,0.1799,0.024138,0.072535,0.23573
228,-8.9557,0.43686,1,0.10158,0.013565,0.047329,0.19899,0.13875,-0.022957,0.21642,0.054521,0.27641,0.10326,0.22625,-0.08166,0.07171,0.3082,0.62971,0.20058,0.25944,0.62653,0.46914,0.2058,0.34796,0.33274,0.26862,0.30906,0.1518,0.022224,0.20731,0.32534,0.03592,0.76972,0.43628,0.24022,0.25278,0.050432,0.50032,0.13926,0.075984,0.2109,0.33047,0.14172,0.20299,0.28274,0.15849,0.182,0.13584,0.28759,0.071782,0.1858,0.42029,0.070871,0.33942,0.35419,0.19888,0.0092336,0.059719,0.23981
228.17,-8.9562,0.44014,1,0.10947,0.032453,0.05585,0.20712,0.15436,-0.0348,0.19235,0.088775,0.30064,0.062939,0.21238,-0.05603,0.062171,0.29088,0.66549,0.22952,0.26824,0.67408,0.44351,0.20151,0.39131,0.33652,0.25883,0.30692,0.13817,0.0091906,0.22344,0.34103,0.011352,0.80821,0.46378,0.26355,0.22641,0.092582,0.52405,0.10139,0.097906,0.17499,0.34689,0.15754,0.22097,0.3115,0.19395,0.19364,0.16904,0.29628,0.11162,0.1915,0.39848,0.059845,0.30248,0.34228,0.20448,-0.013021,0.050225,0.22657
228.33,-8.9715,0.45477,1,0.13018,0.043681,0.066775,0.20294,0.16696,-0.025015,0.15972,0.088649,0.26097,0.047587,0.23265,-0.037271,0.052632,0.3024,0.65134,0.26692,0.26605,0.72164,0.42064,0.19712,0.41286,0.3456,0.22761,0.30019,0.18527,-0.0010512,0.2394,0.33349,0.039447,0.84669,0.47831,0.35527,0.21976,0.20726,0.51505,0.080155,0.13284,0.1526,0.30458,0.18073,0.23847,0.34964,0.22663,0.19933,0.21104,0.30547,0.15456,0.20857,0.40745,0.048819,0.27829,0.33111,0.20468,-0.0014066,0.042015,0.21269
228.5,-8.9839,0.4682,1,0.13474,0.041216,0.081596,0.19178,0.17322,-0.0090159,0.14454,0.13659,0.31869,0.032236,0.25855,-0.0026735,0.063133,0.26841,0.61694,0.31037,0.257,0.73255,0.496,0.19128,0.4131,0.35323,0.22909,0.30274,0.23584,0.0523,0.29776,0.32019,0.080283,0.82361,0.48303,0.44846,0.23914,0.31979,0.50605,0.058925,0.19382,0.14241,0.25206,0.20083,0.2391,0.37847,0.25312,0.22102,0.25304,0.31466,0.19457,0.23086,0.42005,0.046967,0.26039,0.31136,0.20488,-9.67E-05,0.046621,0.20259
228.66,-8.98,0.46812,1,0.14852,0.038752,0.064602,0.19346,0.17195,0.0091446,0.1427,0.1506,0.3348,0.034937,0.28723,0.013789,0.073633,0.2489,0.50952,0.35488,0.26108,0.73176,0.57726,0.18573,0.37432,0.35994,0.25101,0.31826,0.27982,0.11634,0.3529,0.3029,0.13079,0.79116,0.48383,0.52226,0.3236,0.43514,0.48838,0.04569,0.21993,0.12441,0.20975,0.22708,0.23921,0.41849,0.27664,0.26151,0.28142,0.32013,0.20501,0.23673,0.43699,0.046121,0.27496,0.30377,0.20209,0.0075494,0.041681,0.19002
228.83,-8.9785,0.46118,1,0.13355,0.040023,0.050574,0.21374,0.16321,0.027305,0.15223,0.17253,0.37231,0.045097,0.31334,0.026571,0.077433,0.21579,0.40209,0.36538,0.2812,0.7129,0.67452,0.17874,0.34119,0.36581,0.3007,0.34613,0.32703,0.20759,0.40486,0.2815,0.15872,0.80778,0.47609,0.56796,0.4166,0.54274,0.4375,0.061995,0.21268,0.10374,0.17599,0.23858,0.23883,0.48494,0.30987,0.302,0.29522,0.34436,0.21337,0.24713,0.46395,0.045274,0.28825,0.28384,0.193,0.015195,0.036205,0.18181
229,-8.981,0.4651,1,0.1173,0.031138,0.058049,0.24519,0.15123,0.047859,0.17642,0.20177,0.41067,0.055257,0.32722,0.042046,0.091682,0.21428,0.33002,0.38431,0.29037,0.64984,0.76606,0.17228,0.29636,0.35463,0.32597,0.35909,0.37424,0.30463,0.45816,0.29965,0.1851,0.90608,0.46835,0.57192,0.49816,0.61455,0.39644,0.078299,0.19082,0.083071,0.1617,0.24676,0.22975,0.5419,0.32599,0.32319,0.29475,0.36363,0.2033,0.25753,0.49427,0.071737,0.31941,0.26751,0.20043,0.018845,0.027944,0.19871
229.16,-8.9803,0.46586,1,0.095553,0.034614,0.073846,0.2695,0.14402,0.056582,0.2015,0.23196,0.44902,0.068034,0.29622,0.057521,0.080587,0.20975,0.31773,0.40324,0.29687,0.58678,0.8582,0.17069,0.29183,0.3371,0.36308,0.37113,0.36441,0.3983,0.50835,0.29903,0.20436,1.0391,0.46291,0.50897,0.56716,0.60456,0.41199,0.080765,0.14419,0.096711,0.1716,0.22835,0.22067,0.56082,0.33402,0.35248,0.29155,0.37103,0.1901,0.19392,0.51057,0.098199,0.29345,0.25045,0.2377,-0.01039,0.026827,0.21562
229.33,-8.9852,0.47171,1,0.079925,0.036513,0.084455,0.2915,0.14009,0.087539,0.20824,0.24877,0.42969,0.081842,0.25748,0.061996,0.078427,0.21179,0.29952,0.42324,0.31024,0.54485,0.85788,0.18542,0.33876,0.31992,0.36011,0.36544,0.32745,0.39677,0.49068,0.31748,0.2017,1.1901,0.46055,0.44841,0.58142,0.59457,0.42504,0.083231,0.11457,0.11052,0.18711,0.20995,0.21003,0.52786,0.28839,0.36914,0.28715,0.37819,0.1782,0.12507,0.51891,0.11523,0.2675,0.26321,0.27496,-0.0057548,0.025711,0.2225
229.5,-8.9959,0.48047,1,0.065736,0.043421,0.094785,0.29518,0.14036,0.11307,0.21032,0.25853,0.41036,0.10252,0.222,0.070893,0.07127,0.21295,0.33198,0.40617,0.31735,0.53186,0.82735,0.19871,0.37293,0.30274,0.35714,0.35278,0.30042,0.37195,0.47301,0.31874,0.17758,1.2863,0.45008,0.41408,0.54433,0.59532,0.42937,0.12099,0.11982,0.14698,0.19873,0.18461,0.18761,0.52601,0.29643,0.35319,0.29064,0.37254,0.16438,0.1075,0.51859,0.13209,0.24967,0.27596,0.29894,0.0037331,0.027979,0.22533
229.66,-8.9874,0.47421,1,0.043386,0.035366,0.10215,0.28026,0.14373,0.147,0.21241,0.24983,0.40329,0.1199,0.20805,0.070931,0.068812,0.22219,0.34725,0.38171,0.31158,0.51886,0.78632,0.21088,0.39959,0.31035,0.33903,0.30131,0.27015,0.32245,0.43955,0.33719,0.15345,1.3203,0.44749,0.41523,0.49871,0.60172,0.42705,0.15181,0.14842,0.17798,0.2094,0.17462,0.16513,0.48218,0.26349,0.29606,0.28471,0.34686,0.14809,0.090054,0.52157,0.14912,0.23397,0.27973,0.30633,0.013221,0.030782,0.22466
229.83,-8.9952,0.47998,1,0.027812,0.02731,0.11921,0.26526,0.14593,0.17633,0.21235,0.23251,0.40422,0.13313,0.19852,0.06002,0.047257,0.21344,0.334,0.34779,0.30581,0.53227,0.80614,0.21818,0.39782,0.33501,0.32718,0.26901,0.23951,0.26958,0.40157,0.28057,0.11762,1.2479,0.4411,0.42484,0.46696,0.59437,0.40094,0.17387,0.16527,0.20897,0.19272,0.16077,0.12453,0.46517,0.25994,0.25249,0.264,0.32118,0.14824,0.079321,0.50382,0.14147,0.21912,0.26997,0.32008,0.01931,0.046011,0.2202
230,-9.0005,0.49151,1,0.018921,0.02976,0.13651,0.24802,0.14219,0.20564,0.21141,0.21424,0.39228,0.15051,0.2119,0.046108,0.071577,0.19907,0.32472,0.31386,0.306,0.55853,0.82534,0.22548,0.36753,0.35414,0.30348,0.23249,0.20877,0.19989,0.32705,0.28479,0.082649,1.0918,0.45746,0.43445,0.44161,0.58956,0.37483,0.2004,0.213,0.20132,0.19412,0.15973,0.081988,0.45001,0.23342,0.20891,0.23349,0.30475,0.14339,0.14319,0.49088,0.13382,0.26057,0.26056,0.31241,0.024413,0.05281,0.21667
230.17,-9.0041,0.49895,1,0.023977,0.030327,0.14654,0.23309,0.13714,0.18419,0.21649,0.19565,0.41304,0.167,0.22527,0.030224,0.077824,0.20155,0.3235,0.28061,0.30754,0.5708,0.82833,0.22547,0.31055,0.37341,0.28851,0.21884,0.20517,0.16451,0.2616,0.27183,0.056862,0.97051,0.4556,0.43813,0.42472,0.5844,0.36326,0.27483,0.21492,0.19913,0.19381,0.1587,0.04507,0.47133,0.26928,0.16196,0.20347,0.27283,0.13392,0.20647,0.46932,0.12551,0.3081,0.21341,0.30474,0.044805,0.059237,0.22038
230.33,-9.0011,0.50042,1,0.034825,0.012565,0.14355,0.23528,0.13101,0.17036,0.21841,0.17807,0.40028,0.1715,0.24869,0.016638,0.081892,0.20944,0.3293,0.28608,0.31534,0.54795,0.85551,0.22546,0.29426,0.39512,0.27354,0.20605,0.2053,0.16865,0.19458,0.27606,0.17292,0.93512,0.45877,0.43246,0.40576,0.54243,0.3618,0.31397,0.21659,0.19684,0.20198,0.1553,0.016897,0.41756,0.24505,0.11662,0.17664,0.26905,0.12806,0.22526,0.46504,0.11736,0.32571,0.17418,0.31869,0.057463,0.070262,0.2251
230.5,-9.0047,0.50346,1,0.061875,-0.0051968,0.13854,0.23746,0.12478,0.14826,0.22868,0.18197,0.40879,0.17575,0.26251,-0.0080307,0.073113,0.20923,0.3562,0.29155,0.30591,0.52398,0.88268,0.21865,0.27983,0.39456,0.26186,0.22655,0.19769,0.17279,0.14334,0.25425,0.28898,0.90301,0.45531,0.41255,0.39651,0.4876,0.36043,0.29488,0.20285,0.20247,0.20991,0.12627,-0.011224,0.35291,0.24734,0.1224,0.15923,0.26654,0.12467,0.22155,0.44403,0.11315,0.3401,0.16275,0.32718,0.069352,0.071248,0.22895
230.67,-9.0011,0.49669,1,0.079078,-0.025214,0.10155,0.2315,0.11845,0.11895,0.226,0.18718,0.4091,0.18416,0.27633,-0.041379,0.065938,0.1948,0.39369,0.2845,0.29649,0.5,0.85817,0.20611,0.30267,0.39654,0.25577,0.23341,0.1945,0.17393,0.090519,0.26798,0.46378,0.87173,0.43578,0.37869,0.38379,0.43186,0.37361,0.28088,0.19289,0.20801,0.23647,0.10111,-0.021392,0.25219,0.21587,0.15044,0.14504,0.26403,0.12574,0.20885,0.44977,0.10827,0.34733,0.19382,0.35556,0.060568,0.069311,0.23296
230.83,-9.0116,0.51212,1,0.089599,-0.046153,0.052429,0.22713,0.11201,0.089205,0.21918,0.18241,0.42228,0.18841,0.31613,-0.071728,0.041507,0.18367,0.41735,0.27745,0.29121,0.48948,0.78648,0.19358,0.32796,0.40665,0.25539,0.26264,0.19132,0.19222,0.072665,0.25913,0.62144,0.88936,0.36884,0.34484,0.38223,0.38285,0.38692,0.27055,0.16001,0.22367,0.25367,0.0795,-0.013952,0.18754,0.20972,0.16198,0.15215,0.26883,0.13612,0.19557,0.43601,0.097511,0.34541,0.22453,0.3396,0.051784,0.05936,0.24619
231,-9.0123,0.51633,1,0.085746,-0.059107,0.015442,0.22275,0.10563,0.067014,0.20721,0.17763,0.40815,0.18435,0.35592,-0.090842,0.037607,0.17485,0.44123,0.28821,0.28458,0.52408,0.73162,0.1696,0.34179,0.41941,0.26045,0.28213,0.19415,0.20747,0.066334,0.27115,0.77909,0.907,0.32013,0.33074,0.41352,0.33434,0.42744,0.22008,0.14998,0.22479,0.26069,0.058031,0.022799,0.17526,0.19652,0.17258,0.14232,0.2866,0.15355,0.19589,0.42909,0.093397,0.33741,0.26317,0.35375,0.026811,0.049783,0.25843
231.16,-9.0124,0.51584,1,0.076101,-0.040343,0.0064429,0.20172,0.099291,0.066572,0.17996,0.16899,0.41991,0.18804,0.37963,-0.108,0.026029,0.16616,0.47268,0.29625,0.27285,0.56755,0.69804,0.14099,0.36744,0.44001,0.26551,0.29793,0.2177,0.19534,0.06001,0.26221,0.80501,0.86692,0.28394,0.32059,0.43445,0.31328,0.4674,0.17377,0.1402,0.23493,0.28839,0.036562,0.064422,0.19332,0.18814,0.17204,0.1385,0.28904,0.17484,0.18942,0.4114,0.087743,0.31528,0.29299,0.32944,0.0030656,0.041769,0.27487
231.33,-9.0178,0.5222,1,0.080482,-0.026648,-0.0005438,0.18069,0.093003,0.10309,0.15873,0.15189,0.40542,0.18783,0.37873,-0.11827,0.022299,0.16342,0.52033,0.2974,0.26667,0.64231,0.66446,0.12176,0.39308,0.45811,0.28109,0.31781,0.25454,0.17945,0.052109,0.27533,0.71747,0.82029,0.24775,0.3173,0.43633,0.36044,0.50735,0.1857,0.11399,0.24841,0.28831,0.036753,0.10605,0.26709,0.18494,0.16157,0.13399,0.28648,0.20081,0.20016,0.38866,0.078004,0.30733,0.31377,0.34709,-0.0070746,0.046277,0.28947
231.5,-9.022,0.52834,1,0.086012,-0.0056297,0.04157,0.16789,0.086763,0.14149,0.12804,0.13446,0.38626,0.18762,0.37783,-0.11801,0.018748,0.1749,0.55739,0.31109,0.26049,0.71707,0.64886,0.12382,0.40988,0.46435,0.32315,0.35521,0.28732,0.16656,0.045792,0.28844,0.64926,0.79376,0.23144,0.34757,0.4253,0.42469,0.53536,0.1746,0.05704,0.26199,0.29696,0.036944,0.14001,0.36054,0.19237,0.13771,0.13323,0.28392,0.22889,0.21199,0.36749,0.069359,0.29891,0.31288,0.30115,0.006858,0.042145,0.303
231.66,-9.032,0.53949,1,0.091542,0.011246,0.044691,0.16099,0.08179,0.18226,0.1015,0.12702,0.3671,0.18117,0.36514,-0.094016,0.011921,0.1655,0.57474,0.32974,0.23945,0.76553,0.72746,0.12587,0.43813,0.43498,0.35951,0.37999,0.34562,0.18945,0.061894,0.30319,0.59733,0.76614,0.27176,0.3819,0.40561,0.48652,0.54395,0.15488,0.0038708,0.26545,0.26864,0.044034,0.17088,0.47082,0.23663,0.13509,0.12579,0.28946,0.25733,0.21212,0.35713,0.066596,0.30049,0.30424,0.2981,0.015192,0.046026,0.29281
231.83,-9.0279,0.54245,1,0.080335,0.042861,0.077737,0.15408,0.078922,0.2461,0.074963,0.12948,0.35702,0.17821,0.37547,-0.071982,0.0050947,0.15379,0.53614,0.33289,0.22617,0.82228,0.80607,0.1401,0.46385,0.39567,0.38908,0.40987,0.39789,0.21913,0.12366,0.31474,0.5454,0.73852,0.31207,0.41619,0.43644,0.53534,0.49792,0.12728,-0.014306,0.28318,0.2505,0.078225,0.21675,0.54414,0.28089,0.13774,0.15923,0.30041,0.28352,0.19923,0.35244,0.065884,0.29307,0.29561,0.26494,0.023242,0.055974,0.27992
231.99,-9.0347,0.54235,1,0.069129,0.062431,0.095483,0.14785,0.078434,0.28897,0.073202,0.13512,0.34914,0.16053,0.35038,-0.043102,0.028801,0.13457,0.48293,0.34121,0.21497,0.87634,0.86573,0.15832,0.43778,0.34606,0.41945,0.42037,0.40212,0.27863,0.18715,0.35725,0.446,0.72963,0.3333,0.45049,0.50083,0.57112,0.44889,0.09551,0.0062747,0.29201,0.20321,0.12649,0.2656,0.58576,0.32353,0.15388,0.18731,0.32421,0.30224,0.20681,0.33139,0.066713,0.28226,0.26632,0.26588,0.027927,0.052807,0.26146
232.16,-9.042,0.55079,1,0.053916,0.087883,0.11323,0.14161,0.080322,0.28009,0.06791,0.15475,0.33403,0.14286,0.33146,-0.0098382,0.052507,0.11045,0.41685,0.36169,0.23154,0.87172,0.9052,0.17653,0.41172,0.2994,0.44673,0.42959,0.40403,0.36348,0.27193,0.38655,0.43553,0.69962,0.35454,0.4811,0.55135,0.55152,0.40286,0.067553,0.076342,0.29856,0.18525,0.16078,0.31444,0.59643,0.34854,0.17003,0.21606,0.37333,0.29895,0.22363,0.33797,0.067541,0.25729,0.23704,0.24164,0.018972,0.060473,0.24483
232.33,-9.049,0.56154,1,0.063164,0.1091,0.11906,0.13537,0.084584,0.25416,0.074067,0.13661,0.31888,0.12302,0.31254,0.013524,0.085602,0.07374,0.38645,0.38753,0.24473,0.86711,0.92836,0.17924,0.43996,0.26236,0.43558,0.37831,0.40488,0.44833,0.337,0.44598,0.37732,0.66207,0.38017,0.48652,0.5761,0.53109,0.36521,0.08054,0.17336,0.28946,0.16905,0.19002,0.36128,0.59642,0.35321,0.17749,0.2432,0.40214,0.2876,0.24163,0.36306,0.066011,0.25061,0.20775,0.26498,0.010017,0.055148,0.2282
232.49,-9.067,0.5841,1,0.072412,0.12329,0.154,0.1519,0.091032,0.22621,0.080223,0.14562,0.30377,0.10082,0.30482,0.010859,0.1187,0.072819,0.34627,0.41388,0.26533,0.85783,0.9045,0.17751,0.45762,0.25831,0.42371,0.33413,0.37362,0.47636,0.38054,0.45683,0.29983,0.62659,0.38405,0.48438,0.59157,0.51703,0.36137,0.1129,0.27038,0.29601,0.203,0.18949,0.38423,0.55638,0.32511,0.18021,0.26983,0.41395,0.26816,0.25816,0.39424,0.064482,0.25435,0.22936,0.2739,0.014711,0.068358,0.22725
232.67,-9.0595,0.57653,1,0.087498,0.13388,0.15546,0.16842,0.098832,0.18241,0.08638,0.11538,0.29471,0.083286,0.28627,0.0055061,0.18228,0.086037,0.38281,0.44073,0.26827,0.79464,0.92002,0.1635,0.47528,0.25533,0.4111,0.27822,0.34237,0.49664,0.3673,0.45002,0.22653,0.59015,0.4065,0.46608,0.56328,0.52543,0.3729,0.14537,0.38469,0.28154,0.23694,0.16171,0.36355,0.4931,0.29879,0.17861,0.26469,0.42175,0.24056,0.26455,0.41932,0.053404,0.26789,0.25446,0.28012,0.022782,0.056966,0.21379
232.83,-9.0595,0.57593,1,0.074814,0.13614,0.15692,0.17851,0.10771,0.15236,0.091197,0.11448,0.30061,0.078184,0.31648,0.0016788,0.23018,0.10179,0.39622,0.46811,0.27198,0.73144,0.97032,0.15014,0.52527,0.25235,0.39711,0.24515,0.32878,0.47036,0.35333,0.40964,0.19089,0.53937,0.43551,0.44744,0.50503,0.53096,0.3923,0.18002,0.46024,0.23404,0.27089,0.14096,0.32881,0.47763,0.27572,0.171,0.26352,0.40933,0.20967,0.25048,0.46511,0.058013,0.29653,0.2976,0.28234,0.032222,0.044616,0.19818
233,-9.0643,0.58659,1,0.052111,0.13279,0.17353,0.1886,0.11768,0.14267,0.086015,0.066925,0.28935,0.074302,0.35319,0.0031124,0.25014,0.12549,0.42555,0.49603,0.25644,0.67259,1.0408,0.15223,0.53877,0.26193,0.37406,0.20879,0.32862,0.43231,0.32023,0.36926,0.17978,0.51628,0.47343,0.44075,0.45619,0.54004,0.43905,0.21087,0.46047,0.18537,0.29523,0.14383,0.28854,0.44018,0.26511,0.16339,0.26235,0.3758,0.19204,0.22892,0.49281,0.070136,0.32518,0.33171,0.29876,0.04741,0.018951,0.1808
233.16,-9.068,0.59287,1,0.016937,0.12606,0.17525,0.20636,0.12873,0.14827,0.10177,0.11228,0.31873,0.082717,0.33915,0.014447,0.24186,0.16179,0.37336,0.51859,0.24473,0.60413,1.0971,0.15926,0.484,0.28412,0.36295,0.2154,0.31609,0.37215,0.30854,0.29875,0.13542,0.49416,0.48944,0.4222,0.43563,0.54752,0.46033,0.22396,0.44741,0.17475,0.31781,0.15175,0.23656,0.38191,0.25038,0.16156,0.26211,0.35622,0.17034,0.21319,0.50044,0.086007,0.34696,0.34229,0.30491,0.062599,0.027456,0.16341
